,question,proc_ques,tokens,words,stops
2338,Why do I feel unwanted even with my closest friends?,why do i feel unwanted even with my closest friends,"['Why', 'do', 'I', 'feel', 'unwanted', 'even', 'with', 'my', 'closest', 'friends?']","{'closest', 'Why', 'unwanted', 'even', 'feel', 'friends?', 'I'}","{'my', 'do', 'with'}"
2339,What is the craziest or most creative (and non-violent) way in which you have gotten back at an ex- for wronging you?,what is the craziest or most creative  and non violent  way in which you have gotten back at an ex  for wronging you,"['What', 'is', 'the', 'craziest', 'or', 'most', 'creative', '(and', 'non-violent)', 'way', 'in', 'which', 'you', 'have', 'gotten', 'back', 'at', 'an', 'ex-', 'for', 'wronging', 'you?']","{'creative', '(and', 'you?', 'way', 'gotten', 'wronging', 'non-violent)', 'craziest', 'ex-', 'What', 'back'}","{'you', 'which', 'for', 'or', 'at', 'have', 'most', 'in', 'is', 'the', 'an'}"
2340,How can you determine the Lewis structure for Chlorite?,how can you determine the lewis structure for chlorite,"['How', 'can', 'you', 'determine', 'the', 'Lewis', 'structure', 'for', 'Chlorite?']","{'Chlorite?', 'structure', 'How', 'Lewis', 'determine'}","{'you', 'for', 'can', 'the'}"
2341,How is the Lewis structure for cyanide determined?,how is the lewis structure for cyanide determined,"['How', 'is', 'the', 'Lewis', 'structure', 'for', 'cyanide', 'determined?']","{'structure', 'How', 'determined?', 'Lewis', 'cyanide'}","{'for', 'is', 'the'}"
2342,Where can I find the French script of desperate housewives?,where can i find the french script of desperate housewives,"['Where', 'can', 'I', 'find', 'the', 'French', 'script', 'of', 'desperate', 'housewives?']","{'French', 'find', 'housewives?', 'Where', 'desperate', 'script', 'I'}","{'of', 'can', 'the'}"
2343,Where can I find the scripts of Desperate Housewives?,where can i find the scripts of desperate housewives,"['Where', 'can', 'I', 'find', 'the', 'scripts', 'of', 'Desperate', 'Housewives?']","{'Desperate', 'find', 'scripts', 'Where', 'Housewives?', 'I'}","{'of', 'can', 'the'}"
2344,How can I deal with conservative parents?,how can i deal with conservative parents,"['How', 'can', 'I', 'deal', 'with', 'conservative', 'parents?']","{'conservative', 'How', 'parents?', 'deal', 'I'}","{'can', 'with'}"
2345,How do I deal with my Conservative parents?,how do i deal with my conservative parents,"['How', 'do', 'I', 'deal', 'with', 'my', 'Conservative', 'parents?']","{'How', 'parents?', 'deal', 'I', 'Conservative'}","{'my', 'do', 'with'}"
2346,Where are we going next?,where are we going next,"['Where', 'are', 'we', 'going', 'next?']","{'next?', 'going', 'Where'}","{'are', 'we'}"
2347,Where does visualize.me go next?,where does visualize me go next,"['Where', 'does', 'visualize.me', 'go', 'next?']","{'next?', 'Where', 'visualize.me', 'go'}",{'does'}
2348,How can I improve my pronunciation in English?,how can i improve my pronunciation in english,"['How', 'can', 'I', 'improve', 'my', 'pronunciation', 'in', 'English?']","{'How', 'pronunciation', 'improve', 'English?', 'I'}","{'in', 'my', 'can'}"
2349,How can I improve in English?,how can i improve in english,"['How', 'can', 'I', 'improve', 'in', 'English?']","{'English?', 'How', 'I', 'improve'}","{'in', 'can'}"
2350,Could the recent incidents between the USA and Russia lead to war?,could the recent incidents between the usa and russia lead to war,"['Could', 'the', 'recent', 'incidents', 'between', 'the', 'USA', 'and', 'Russia', 'lead', 'to', 'war?']","{'USA', 'Russia', 'Could', 'war?', 'recent', 'incidents', 'lead'}","{'and', 'between', 'to', 'the'}"
2351,Will Russia and U.S. go to war?,will russia and u s  go to war,"['Will', 'Russia', 'and', 'U.S.', 'go', 'to', 'war?']","{'Russia', 'go', 'Will', 'U.S.', 'war?'}","{'and', 'to'}"
2352,Why is the question more important than the answer?,why is the question more important than the answer,"['Why', 'is', 'the', 'question', 'more', 'important', 'than', 'the', 'answer?']","{'Why', 'important', 'answer?', 'question'}","{'more', 'is', 'the', 'than'}"
2353,Are questions more important than answers?,are questions more important than answers,"['Are', 'questions', 'more', 'important', 'than', 'answers?']","{'Are', 'answers?', 'important', 'questions'}","{'more', 'than'}"
2354,What are some ways to seduce you?,what are some ways to seduce you,"['What', 'are', 'some', 'ways', 'to', 'seduce', 'you?']","{'you?', 'seduce', 'ways', 'What'}","{'are', 'some', 'to'}"
2355,How can I attract girls for sex?,how can i attract girls for sex,"['How', 'can', 'I', 'attract', 'girls', 'for', 'sex?']","{'girls', 'How', 'attract', 'sex?', 'I'}","{'for', 'can'}"
2356,What are the skills/projects a student must have if he aspires to be a firmware/ OS engineer?,what are the skills projects a student must have if he aspires to be a firmware  os engineer,"['What', 'are', 'the', 'skills/projects', 'a', 'student', 'must', 'have', 'if', 'he', 'aspires', 'to', 'be', 'a', 'firmware/', 'OS', 'engineer?']","{'firmware/', 'skills/projects', 'What', 'engineer?', 'aspires', 'OS', 'student', 'must'}","{'be', 'to', 'if', 'have', 'a', 'the', 'are', 'he'}"
2357,What is the position of a student if he don't get placed in campus placements? What he has to do if he has got programming skills?,what is the position of a student if he do not get placed in campus placements  what he has to do if he has got programming skills,"['What', 'is', 'the', 'position', 'of', 'a', 'student', 'if', 'he', ""don't"", 'get', 'placed', 'in', 'campus', 'placements?', 'What', 'he', 'has', 'to', 'do', 'if', 'he', 'has', 'got', 'programming', 'skills?']","{'position', 'placements?', 'get', 'programming', 'placed', 'What', 'got', 'skills?', 'campus', 'student'}","{'of', 'has', 'to', 'if', ""don't"", 'do', 'a', 'in', 'is', 'the', 'he'}"
2358,What is magnesium sulphur?,what is magnesium sulphur,"['What', 'is', 'magnesium', 'sulphur?']","{'sulphur?', 'magnesium', 'What'}",{'is'}
2359,What is magnesium?,what is magnesium,"['What', 'is', 'magnesium?']","{'magnesium?', 'What'}",{'is'}
2360,What is the relative percentage of fine-grained/coarse-grained (or clay/silt/sand/gravel) rock on Mars?,what is the relative percentage of fine grained coarse grained  or clay silt sand gravel  rock on mars,"['What', 'is', 'the', 'relative', 'percentage', 'of', 'fine-grained/coarse-grained', '(or', 'clay/silt/sand/gravel)', 'rock', 'on', 'Mars?']","{'relative', 'clay/silt/sand/gravel)', 'fine-grained/coarse-grained', 'Mars?', 'What', 'rock', 'percentage', '(or'}","{'of', 'on', 'is', 'the'}"
2361,What is the relative percentage of fine-grained/coarse-grained (or clay/silt/sand/gravel) rock on Earth?,what is the relative percentage of fine grained coarse grained  or clay silt sand gravel  rock on earth,"['What', 'is', 'the', 'relative', 'percentage', 'of', 'fine-grained/coarse-grained', '(or', 'clay/silt/sand/gravel)', 'rock', 'on', 'Earth?']","{'relative', 'clay/silt/sand/gravel)', 'fine-grained/coarse-grained', 'What', 'rock', 'Earth?', 'percentage', '(or'}","{'of', 'on', 'is', 'the'}"
2362,How much cocaine can $20 buy?,how much cocaine can dollar 20 buy,"['How', 'much', 'cocaine', 'can', '$20', 'buy?']","{'buy?', 'How', 'cocaine', 'much', '$20'}",{'can'}
2363,How much profit do you make off 8 ball of cocaine?,how much profit do you make off 8 ball of cocaine,"['How', 'much', 'profit', 'do', 'you', 'make', 'off', '8', 'ball', 'of', 'cocaine?']","{'profit', 'ball', 'How', 'cocaine?', '8', 'much', 'make'}","{'you', 'of', 'off', 'do'}"
2364,How can I make money from YouTube?,how can i make money from youtube,"['How', 'can', 'I', 'make', 'money', 'from', 'YouTube?']","{'YouTube?', 'How', 'money', 'make', 'I'}","{'from', 'can'}"
2365,How do I make money with YouTube?,how do i make money with youtube,"['How', 'do', 'I', 'make', 'money', 'with', 'YouTube?']","{'YouTube?', 'How', 'money', 'make', 'I'}","{'do', 'with'}"
2366,Why are digestive enzymes in a cell enclosed in an organelle membrane?,why are digestive enzymes in a cell enclosed in an organelle membrane,"['Why', 'are', 'digestive', 'enzymes', 'in', 'a', 'cell', 'enclosed', 'in', 'an', 'organelle', 'membrane?']","{'digestive', 'Why', 'organelle', 'cell', 'membrane?', 'enclosed', 'enzymes'}","{'are', 'a', 'in', 'an'}"
2367,Which organelles in a cell contain hydrolytic enzymes?,which organelles in a cell contain hydrolytic enzymes,"['Which', 'organelles', 'in', 'a', 'cell', 'contain', 'hydrolytic', 'enzymes?']","{'Which', 'hydrolytic', 'cell', 'organelles', 'enzymes?', 'contain'}","{'a', 'in'}"
2368,"What is the most interesting fact that I know, but you don't, but I shouldn't?",what is the most interesting fact that i know  but you do not  but i should not,"['What', 'is', 'the', 'most', 'interesting', 'fact', 'that', 'I', 'know,', 'but', 'you', ""don't,"", 'but', 'I', ""shouldn't?""]","{'know,', 'What', ""don't,"", ""shouldn't?"", 'interesting', 'I', 'fact'}","{'you', 'but', 'most', 'is', 'the', 'that'}"
2369,What is the most interesting fact that most people don't know about?,what is the most interesting fact that most people do not know about,"['What', 'is', 'the', 'most', 'interesting', 'fact', 'that', 'most', 'people', ""don't"", 'know', 'about?']","{'fact', 'know', 'What', 'about?', 'interesting', 'people'}","{""don't"", 'most', 'is', 'the', 'that'}"
2370,What are some mind-blowing Camping tools that most people don't know about?,what are some mind blowing camping tools that most people do not know about,"['What', 'are', 'some', 'mind-blowing', 'Camping', 'tools', 'that', 'most', 'people', ""don't"", 'know', 'about?']","{'tools', 'mind-blowing', 'What', 'about?', 'know', 'people', 'Camping'}","{""don't"", 'most', 'some', 'are', 'that'}"
2371,What are some coolest camping gadgets that exist that most people don't know about?,what are some coolest camping gadgets that exist that most people do not know about,"['What', 'are', 'some', 'coolest', 'camping', 'gadgets', 'that', 'exist', 'that', 'most', 'people', ""don't"", 'know', 'about?']","{'gadgets', 'camping', 'What', 'exist', 'about?', 'know', 'people', 'coolest'}","{""don't"", 'most', 'some', 'are', 'that'}"
2372,"Is there a difference between ""native"" mini displayport and just mini displayport on Mac boo air?",is there a difference between  native  mini displayport and just mini displayport on mac boo air,"['Is', 'there', 'a', 'difference', 'between', '""native""', 'mini', 'displayport', 'and', 'just', 'mini', 'displayport', 'on', 'Mac', 'boo', 'air?']","{'difference', 'boo', 'mini', 'Mac', 'Is', '""native""', 'displayport', 'air?'}","{'between', 'there', 'just', 'a', 'and', 'on'}"
2373,Is there a difference between native mini displayport and just mini displayport on Macbook air?,is there a difference between native mini displayport and just mini displayport on macbook air,"['Is', 'there', 'a', 'difference', 'between', 'native', 'mini', 'displayport', 'and', 'just', 'mini', 'displayport', 'on', 'Macbook', 'air?']","{'Macbook', 'difference', 'mini', 'Is', 'native', 'displayport', 'air?'}","{'between', 'there', 'just', 'a', 'and', 'on'}"
2374,How can I stop myself from being extrovert?,how can i stop myself from being extrovert,"['How', 'can', 'I', 'stop', 'myself', 'from', 'being', 'extrovert?']","{'extrovert?', 'How', 'stop', 'I'}","{'from', 'can', 'being', 'myself'}"
2375,How should I stop being an introvert?,how should i stop being an introvert,"['How', 'should', 'I', 'stop', 'being', 'an', 'introvert?']","{'introvert?', 'How', 'stop', 'I'}","{'should', 'being', 'an'}"
2376,What are some good films set in Madrid?,what are some good films set in madrid,"['What', 'are', 'some', 'good', 'films', 'set', 'in', 'Madrid?']","{'Madrid?', 'good', 'set', 'What', 'films'}","{'are', 'in', 'some'}"
2377,What are some ideas for a short film?,what are some ideas for a short film,"['What', 'are', 'some', 'ideas', 'for', 'a', 'short', 'film?']","{'short', 'ideas', 'film?', 'What'}","{'are', 'a', 'for', 'some'}"
2378,How does Tim Kaine resolve being Catholic with his pro-choice agenda?,how does tim kaine resolve being catholic with his pro choice agenda,"['How', 'does', 'Tim', 'Kaine', 'resolve', 'being', 'Catholic', 'with', 'his', 'pro-choice', 'agenda?']","{'agenda?', 'resolve', 'Catholic', 'How', 'pro-choice', 'Tim', 'Kaine'}","{'does', 'being', 'his', 'with'}"
2379,How does Tim Kaine reconcile his Catholic faith with Clinton's pro-choice stance?,how does tim kaine reconcile his catholic faith with clinton s pro choice stance,"['How', 'does', 'Tim', 'Kaine', 'reconcile', 'his', 'Catholic', 'faith', 'with', ""Clinton's"", 'pro-choice', 'stance?']","{'stance?', 'Catholic', 'Kaine', 'How', 'pro-choice', 'faith', 'Tim', ""Clinton's"", 'reconcile'}","{'does', 'his', 'with'}"
2380,How many chord can be form from 8 points in a circle?,how many chord can be form from 8 points in a circle,"['How', 'many', 'chord', 'can', 'be', 'form', 'from', '8', 'points', 'in', 'a', 'circle?']","{'points', 'How', 'form', '8', 'many', 'circle?', 'chord'}","{'be', 'a', 'in', 'from', 'can'}"
2381,"Not getting, how this occure?",not getting  how this occure,"['Not', 'getting,', 'how', 'this', 'occure?']","{'getting,', 'Not', 'occure?'}","{'how', 'this'}"
2382,What is the Dr. Nowazardan pre-op diet?,what is the dr  nowazardan pre op diet,"['What', 'is', 'the', 'Dr.', 'Nowazardan', 'pre-op', 'diet?']","{'Nowazardan', 'Dr.', 'diet?', 'What', 'pre-op'}","{'is', 'the'}"
2383,What are the best ways to lose weight?,what are the best ways to lose weight,"['What', 'are', 'the', 'best', 'ways', 'to', 'lose', 'weight?']","{'lose', 'weight?', 'ways', 'What', 'best'}","{'are', 'to', 'the'}"
2384,"When recruiting, do colleges look at freshman grades as much as senior grades?",when recruiting  do colleges look at freshman grades as much as senior grades,"['When', 'recruiting,', 'do', 'colleges', 'look', 'at', 'freshman', 'grades', 'as', 'much', 'as', 'senior', 'grades?']","{'freshman', 'grades?', 'colleges', 'much', 'senior', 'recruiting,', 'grades', 'When', 'look'}","{'do', 'at', 'as'}"
2385,If I do bad freshman year and do good sophomore year how do colleges look at that?,if i do bad freshman year and do good sophomore year how do colleges look at that,"['If', 'I', 'do', 'bad', 'freshman', 'year', 'and', 'do', 'good', 'sophomore', 'year', 'how', 'do', 'colleges', 'look', 'at', 'that?']","{'freshman', 'good', 'year', 'sophomore', 'colleges', 'that?', 'If', 'bad', 'I', 'look'}","{'how', 'and', 'do', 'at'}"
2386,Is this move of banning 500 & 1000 Rupee notes right?,is this move of banning 500   1k rupee notes right,"['Is', 'this', 'move', 'of', 'banning', '500', '&', '1000', 'Rupee', 'notes', 'right?']","{'500', 'banning', '&', '1000', 'notes', 'Is', 'Rupee', 'right?', 'move'}","{'of', 'this'}"
2387,What do you think of the decision by the Indian government to demonetize 500 and 1000 rupee notes?,what do you think of the decision by the indian government to demonetize 500 and 1k rupee notes,"['What', 'do', 'you', 'think', 'of', 'the', 'decision', 'by', 'the', 'Indian', 'government', 'to', 'demonetize', '500', 'and', '1000', 'rupee', 'notes?']","{'500', 'demonetize', 'rupee', 'What', '1000', 'think', 'Indian', 'government', 'notes?', 'decision'}","{'you', 'of', 'by', 'do', 'to', 'and', 'the'}"
2388,Is this claim about the existence of the “Eve gene” in black women true?,is this claim about the existence of the  eve gene  in black women true,"['Is', 'this', 'claim', 'about', 'the', 'existence', 'of', 'the', '“Eve', 'gene”', 'in', 'black', 'women', 'true?']","{'existence', 'women', 'gene”', 'black', 'Is', 'true?', '“Eve', 'claim'}","{'of', 'this', 'in', 'the', 'about'}"
2389,Who was the first black human to ever exist?,who was the first black human to ever exist,"['Who', 'was', 'the', 'first', 'black', 'human', 'to', 'ever', 'exist?']","{'exist?', 'ever', 'black', 'human', 'Who', 'first'}","{'was', 'to', 'the'}"
2390,Does climbing up (or down) stairs have any adverse effect on your knees?,does climbing up  or down  stairs have any adverse effect on your knees,"['Does', 'climbing', 'up', '(or', 'down)', 'stairs', 'have', 'any', 'adverse', 'effect', 'on', 'your', 'knees?']","{'Does', 'effect', 'stairs', 'knees?', 'adverse', 'down)', 'climbing', '(or'}","{'up', 'your', 'any', 'have', 'on'}"
2391,What's the cause of knee pain while climbing stairs?,what is the cause of knee pain while climbing stairs,"[""What's"", 'the', 'cause', 'of', 'knee', 'pain', 'while', 'climbing', 'stairs?']","{'pain', 'cause', 'stairs?', ""What's"", 'climbing', 'knee'}","{'of', 'the', 'while'}"
2392,What are the permissions and licenses required for manufacturing and selling handbags?,what are the permissions and licenses required for manufacturing and selling handbags,"['What', 'are', 'the', 'permissions', 'and', 'licenses', 'required', 'for', 'manufacturing', 'and', 'selling', 'handbags?']","{'manufacturing', 'handbags?', 'selling', 'licenses', 'What', 'permissions', 'required'}","{'are', 'for', 'and', 'the'}"
2393,What are the licenses and permissions required to manufacture a handbag?,what are the licenses and permissions required to manufacture a handbag,"['What', 'are', 'the', 'licenses', 'and', 'permissions', 'required', 'to', 'manufacture', 'a', 'handbag?']","{'handbag?', 'licenses', 'What', 'permissions', 'manufacture', 'required'}","{'to', 'a', 'and', 'the', 'are'}"
2394,What are the different political orientations?,what are the different political orientations,"['What', 'are', 'the', 'different', 'political', 'orientations?']","{'orientations?', 'political', 'different', 'What'}","{'are', 'the'}"
2395,What are the different types of political orientations?,what are the different types of political orientations,"['What', 'are', 'the', 'different', 'types', 'of', 'political', 'orientations?']","{'orientations?', 'political', 'What', 'different', 'types'}","{'are', 'of', 'the'}"
2396,When will episode 278 of fairy tail come out?,when will episode 278 of fairy tail come out,"['When', 'will', 'episode', '278', 'of', 'fairy', 'tail', 'come', 'out?']","{'out?', 'episode', 'come', 'fairy', 'When', 'tail', '278'}","{'of', 'will'}"
2397,Is there any wizard stronger than Zeref in Fairy Tail?,is there any wizard stronger than zeref in fairy tail,"['Is', 'there', 'any', 'wizard', 'stronger', 'than', 'Zeref', 'in', 'Fairy', 'Tail?']","{'Zeref', 'Tail?', 'Is', 'wizard', 'Fairy', 'stronger'}","{'any', 'in', 'there', 'than'}"
2398,What is meant by cascoding?,what is meant by cascoding,"['What', 'is', 'meant', 'by', 'cascoding?']","{'meant', 'cascoding?', 'What'}","{'by', 'is'}"
2399,What do you mean by cascoding?,what do you mean by cascoding,"['What', 'do', 'you', 'mean', 'by', 'cascoding?']","{'cascoding?', 'mean', 'What'}","{'you', 'by', 'do'}"
2400,What are the best decorated hostel rooms?,what are the best decorated hostel rooms,"['What', 'are', 'the', 'best', 'decorated', 'hostel', 'rooms?']","{'hostel', 'What', 'best', 'decorated', 'rooms?'}","{'are', 'the'}"
2401,How can I decorate my hostel room?,how can i decorate my hostel room,"['How', 'can', 'I', 'decorate', 'my', 'hostel', 'room?']","{'hostel', 'room?', 'How', 'decorate', 'I'}","{'my', 'can'}"
2402,What is the difference between stress and strain?,what is the difference between stress and strain,"['What', 'is', 'the', 'difference', 'between', 'stress', 'and', 'strain?']","{'stress', 'strain?', 'difference', 'What'}","{'between', 'and', 'is', 'the'}"
2403,What is the difference between simple stress and simple strain?,what is the difference between simple stress and simple strain,"['What', 'is', 'the', 'difference', 'between', 'simple', 'stress', 'and', 'simple', 'strain?']","{'stress', 'simple', 'difference', 'What', 'strain?'}","{'between', 'and', 'is', 'the'}"
2404,"With Trump as President, has the risk of a 3rd World War increased?",with trump as president  has the risk of a 3rd world war increased,"['With', 'Trump', 'as', 'President,', 'has', 'the', 'risk', 'of', 'a', '3rd', 'World', 'War', 'increased?']","{'War', 'risk', 'President,', 'Trump', 'With', '3rd', 'increased?', 'World'}","{'of', 'has', 'a', 'the', 'as'}"
2405,Which country is most likely to trigger WW3?,which country is most likely to trigger ww3,"['Which', 'country', 'is', 'most', 'likely', 'to', 'trigger', 'WW3?']","{'Which', 'country', 'WW3?', 'trigger', 'likely'}","{'most', 'is', 'to'}"
2406,Which medical insurance company is the cheapest?,which medical insurance company is the cheapest,"['Which', 'medical', 'insurance', 'company', 'is', 'the', 'cheapest?']","{'cheapest?', 'Which', 'company', 'insurance', 'medical'}","{'is', 'the'}"
2407,Which company is best for medical Insurance?,which company is best for medical insurance,"['Which', 'company', 'is', 'best', 'for', 'medical', 'Insurance?']","{'Which', 'best', 'company', 'Insurance?', 'medical'}","{'for', 'is'}"
2408,AppSumo: Is this App Sumo gig worth $300?,appsumo  is this app sumo gig worth dollar 300,"['AppSumo:', 'Is', 'this', 'App', 'Sumo', 'gig', 'worth', '$300?']","{'worth', 'App', '$300?', 'Sumo', 'gig', 'Is', 'AppSumo:'}",{'this'}
2409,"What are example of some businesses started through AppSumo's ""Make Your First Dollar"" program?",what are example of some businesses started through appsumo s  make your first dollar  program,"['What', 'are', 'example', 'of', 'some', 'businesses', 'started', 'through', ""AppSumo's"", '""Make', 'Your', 'First', 'Dollar""', 'program?']","{'businesses', 'started', 'Your', 'program?', ""AppSumo's"", 'First', 'What', 'Dollar""', '""Make', 'example'}","{'are', 'of', 'through', 'some'}"
2410,What needs to be done to make agriculture profitable for more farmers in India?,what needs to be done to make agriculture profitable for more farmers in india,"['What', 'needs', 'to', 'be', 'done', 'to', 'make', 'agriculture', 'profitable', 'for', 'more', 'farmers', 'in', 'India?']","{'done', 'profitable', 'What', 'farmers', 'agriculture', 'India?', 'needs', 'make'}","{'for', 'be', 'to', 'more', 'in'}"
2411,Should India have multiple time zones?,should india have multiple time zones,"['Should', 'India', 'have', 'multiple', 'time', 'zones?']","{'multiple', 'Should', 'time', 'zones?', 'India'}",{'have'}
2412,How Sunil gavaskar is better than Tendulkar?,how sunil gavaskar is better than tendulkar,"['How', 'Sunil', 'gavaskar', 'is', 'better', 'than', 'Tendulkar?']","{'How', 'Tendulkar?', 'better', 'Sunil', 'gavaskar'}","{'is', 'than'}"
2413,"Who was a better batsman, Sachin Tendulkar or Sunil Gavaskar?",who was a better batsman  sachin tendulkar or sunil gavaskar,"['Who', 'was', 'a', 'better', 'batsman,', 'Sachin', 'Tendulkar', 'or', 'Sunil', 'Gavaskar?']","{'Gavaskar?', 'Tendulkar', 'batsman,', 'Who', 'better', 'Sunil', 'Sachin'}","{'was', 'a', 'or'}"
2414,What is the procedure to start Himalaya herbal retail outlet stores?,what is the procedure to start himalaya herbal retail outlet stores,"['What', 'is', 'the', 'procedure', 'to', 'start', 'Himalaya', 'herbal', 'retail', 'outlet', 'stores?']","{'outlet', 'procedure', 'What', 'retail', 'stores?', 'herbal', 'Himalaya', 'start'}","{'is', 'to', 'the'}"
2415,I am interested in starting my own specialty retail store. I just want to know the answer to one simple question. Where should I start?,i am interested in starting my own specialty retail store  i just want to know the answer to one simple question  where should i start,"['I', 'am', 'interested', 'in', 'starting', 'my', 'own', 'specialty', 'retail', 'store.', 'I', 'just', 'want', 'to', 'know', 'the', 'answer', 'to', 'one', 'simple', 'question.', 'Where', 'should', 'I', 'start?']","{'start?', 'one', 'simple', 'question.', 'know', 'answer', 'retail', 'Where', 'store.', 'specialty', 'interested', 'I', 'want', 'starting'}","{'my', 'just', 'should', 'to', 'in', 'the', 'own', 'am'}"
2416,What's the difference between Post-structuralism and structuralism?,what is the difference between post structuralism and structuralism,"[""What's"", 'the', 'difference', 'between', 'Post-structuralism', 'and', 'structuralism?']","{'Post-structuralism', 'structuralism?', ""What's"", 'difference'}","{'and', 'between', 'the'}"
2417,What is the difference between structuralism and poststructuralism?,what is the difference between structuralism and poststructuralism,"['What', 'is', 'the', 'difference', 'between', 'structuralism', 'and', 'poststructuralism?']","{'structuralism', 'poststructuralism?', 'difference', 'What'}","{'between', 'and', 'is', 'the'}"
2418,How can a boring and not good looking guy make himself attractive to women?,how can a boring and not good looking guy make himself attractive to women,"['How', 'can', 'a', 'boring', 'and', 'not', 'good', 'looking', 'guy', 'make', 'himself', 'attractive', 'to', 'women?']","{'women?', 'boring', 'good', 'How', 'attractive', 'guy', 'looking', 'make'}","{'not', 'to', 'a', 'and', 'can', 'himself'}"
2419,How does one make himself more attractive to women? Not just physically.,how does one make himself more attractive to women  not just physically,"['How', 'does', 'one', 'make', 'himself', 'more', 'attractive', 'to', 'women?', 'Not', 'just', 'physically.']","{'women?', 'one', 'How', 'attractive', 'Not', 'physically.', 'make'}","{'just', 'to', 'more', 'does', 'himself'}"
2420,What are the best reference books for learning Java?,what are the best reference books for learning java,"['What', 'are', 'the', 'best', 'reference', 'books', 'for', 'learning', 'Java?']","{'reference', 'What', 'best', 'books', 'learning', 'Java?'}","{'are', 'for', 'the'}"
2421,What are the best books for Java complete beginners?,what are the best books for java complete beginners,"['What', 'are', 'the', 'best', 'books', 'for', 'Java', 'complete', 'beginners?']","{'Java', 'What', 'best', 'beginners?', 'books', 'complete'}","{'are', 'for', 'the'}"
2422,How do you get an upvoted answer on Quora?,how do you get an upvoted answer on quora,"['How', 'do', 'you', 'get', 'an', 'upvoted', 'answer', 'on', 'Quora?']","{'get', 'upvoted', 'How', 'Quora?', 'answer'}","{'you', 'on', 'do', 'an'}"
2423,How do I get an answer on Quora?,how do i get an answer on quora,"['How', 'do', 'I', 'get', 'an', 'answer', 'on', 'Quora?']","{'get', 'How', 'Quora?', 'answer', 'I'}","{'on', 'do', 'an'}"
2424,Do you make money or lose money mining Bitcoin from a laptop?,do you make money or lose money mining bitcoin from a laptop,"['Do', 'you', 'make', 'money', 'or', 'lose', 'money', 'mining', 'Bitcoin', 'from', 'a', 'laptop?']","{'Do', 'laptop?', 'lose', 'Bitcoin', 'mining', 'money', 'make'}","{'you', 'from', 'or', 'a'}"
2425,"Can we earn 4000 bitcoins in India through mining over a year? If so, how?",can we earn 4k bitcoins in india through mining over a year  if so  how,"['Can', 'we', 'earn', '4000', 'bitcoins', 'in', 'India', 'through', 'mining', 'over', 'a', 'year?', 'If', 'so,', 'how?']","{'4000', 'earn', 'bitcoins', 'year?', 'mining', 'so,', 'India', 'If', 'how?', 'Can'}","{'through', 'over', 'a', 'in', 'we'}"
2426,"Who is more powerful in Dark Arts, Severus Snape or Dolores Umbridge?",who is more powerful in dark arts  severus snape or dolores umbridge,"['Who', 'is', 'more', 'powerful', 'in', 'Dark', 'Arts,', 'Severus', 'Snape', 'or', 'Dolores', 'Umbridge?']","{'powerful', 'Dark', 'Severus', 'Dolores', 'Umbridge?', 'Snape', 'Who', 'Arts,'}","{'or', 'in', 'is', 'more'}"
2427,Why did Severus Snape never get the Dark Arts position?,why did severus snape never get the dark arts position,"['Why', 'did', 'Severus', 'Snape', 'never', 'get', 'the', 'Dark', 'Arts', 'position?']","{'get', 'Dark', 'Why', 'position?', 'Severus', 'never', 'Arts', 'Snape'}","{'did', 'the'}"
2428,"“Facts are needed to establish theories but theories are needed to make sense of facts"" What do you think?",facts are needed to establish theories but theories are needed to make sense of facts  what do you think,"['“Facts', 'are', 'needed', 'to', 'establish', 'theories', 'but', 'theories', 'are', 'needed', 'to', 'make', 'sense', 'of', 'facts""', 'What', 'do', 'you', 'think?']","{'“Facts', 'needed', 'establish', 'think?', 'What', 'facts""', 'theories', 'sense', 'make'}","{'you', 'of', 'do', 'to', 'but', 'are'}"
2429,"As a physicist my golden rule of verifying my theory is 5 sigma, why do climate scientists state a theory is a fact with less than 2 sigma certainty?",as a physicist my golden rule of verifying my theory is 5 sigma  why do climate scientists state a theory is a fact with less than 2 sigma certainty,"['As', 'a', 'physicist', 'my', 'golden', 'rule', 'of', 'verifying', 'my', 'theory', 'is', '5', 'sigma,', 'why', 'do', 'climate', 'scientists', 'state', 'a', 'theory', 'is', 'a', 'fact', 'with', 'less', 'than', '2', 'sigma', 'certainty?']","{'5', 'sigma', 'verifying', 'golden', 'sigma,', 'certainty?', 'less', 'climate', 'scientists', 'theory', '2', 'physicist', 'As', 'rule', 'fact', 'state'}","{'my', 'why', 'of', 'with', 'do', 'than', 'a', 'is'}"
2430,Job opportunities for non german in Germany in mechanical engineering?,job opportunities for non german in germany in mechanical engineering,"['Job', 'opportunities', 'for', 'non', 'german', 'in', 'Germany', 'in', 'mechanical', 'engineering?']","{'mechanical', 'non', 'engineering?', 'german', 'Germany', 'Job', 'opportunities'}","{'for', 'in'}"
2431,Would I be able to take voice calls on iPhone using Jio sim?,would i be able to take voice calls on iphone using jio sim,"['Would', 'I', 'be', 'able', 'to', 'take', 'voice', 'calls', 'on', 'iPhone', 'using', 'Jio', 'sim?']","{'sim?', 'voice', 'calls', 'iPhone', 'using', 'Would', 'take', 'I', 'Jio', 'able'}","{'on', 'be', 'to'}"
